Country,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
it,scandicci,43.75,11.183333,37.13,86,75,3.36
ph,dalipey,16.8,120.716667,77.14,63,8,2.39
pa,tijeras,8.4666667,-82.55,80.6,83,0,4.7
hn,el caimito,13.446388899999999,-87.475,83.21,68,0,13.47
ph,buluang,13.3068,123.3425,77.63,95,76,12.01
ca,dawson creek,55.766667000000005,-120.233333,-0.41,77,1,8.05
us,auburn hills,42.6875,-83.2341667,25.61,79,40,9.17
hu,szekkutas,46.5,20.533333,28.4,100,36,3.36
ru,rtishchevo,52.260412,43.78745,3.97,80,36,8.21
ro,garliciu,44.766667,28.083333,32,95,75,11.41
ru,kuzino,57.016667000000005,59.566667,5.77,81,76,5.97
co,giron,7.068205,-73.169809,71.6,83,75,4.7
sk,nova bana,48.4333333,18.65,32.09,92,90,2.06
us,shelburne,44.3805556,-73.2280556,34.84,86,90,12.75
co,guayabetal,4.2147239999999995,-73.817192,60.8,51,40,9.17
ca,vermilion,53.35,-110.85,-14.81,68,20,9.17
ph,laguit,15.9472,120.1904,81.46,89,64,3.96
ph,san miguel,10.538561999999999,123.083002,78.58,88,80,7.09
hu,pecsvarad,46.161732,18.427501,22.51,78,56,2.51
hu,nyergesujfalu,47.757627,18.557456,30.43,100,75,1.12
ro,periam,46.05,20.866667,30.61,84,90,2.24
cz,kladno,50.142037,14.096549,34.84,86,40,16.11
cn,tongchuan,34.898799,108.950562,28.4,74,0,3.96
in,bodhan,18.666667,77.9,69.31,78,0,5.19
sd,bara,13.7,30.3666667,73.4,31,0,4.7
ph,sinolon,6.243889,124.814444,79.75,94,100,1.16
it,oria,40.5,17.633333,40.95,70,0,8.05
ro,lipova,46.083333,21.7,33.8,97,90,2.24
ro,viisoara,46.55,23.916667,33.8,86,90,2.28
za,lichtenburg,-26.152004,26.159679,59.9,84,20,7.09
ru,dmitriyevka,54.448661,55.193746,15.8,85,90,2.24
ch,wetzikon,47.325771,8.795716,35.08,95,75,5.82
no,vardo,70.366667,31.1,26.33,100,12,17.94
ph,matala,13.8287,121.1549,78.53,90,48,14.58
si,radlje ob dravi,46.6141667,15.2263889,29.57,86,88,1.83
co,salamina,10.490274000000001,-74.79463,80.6,74,0,19.46
ua,vyzhnytsya,48.248007,25.194524,11.44,75,56,2.39
gt,quezaltepeque,14.633332999999999,-89.45,67.46,85,56,1.72
de,philippsburg,49.235833,8.456389,36.36,86,90,9.17
ro,valea marului,45.833333,27.683333,30.83,89,92,9.1
br,guacui,-20.766667,-41.683333,66.88,86,0,3.96
ro,fratesti,43.966667,25.966667,34.68,93,92,5.82
ph,victoria,13.177222,121.278056,73.4,100,92,6.98
sk,moldava nad bodvou,48.6166667,21,32,97,90,2.24
gb,wokingham,51.416667,-0.833333,32.54,76,0,10.29
cz,strelice,49.153420000000004,16.500263,30.97,82,75,1.12
jp,ohara,35.25,140.383333,42.8,41,20,16.11
it,fontanafredda,45.975556,12.568333,39.2,80,92,3.36
de,emmerich,51.833333,6.25,33.8,91,75,9.17
